Num;Nom de votre structure;Nature de votre structure;Adresse e-mail de votre structure;Numéro de téléphone de votre structure;Site internet de votre structure;Numéro de rue;Nom de rue;Code postal;Ville;Accompagnez-vous des publics spécifiques?;Quel type d'accompagnement ?;Quels sont les horaires;Quelles sont les conditions d'accès à vos services ? (adhésion préalable, prise de rdv,...);Quels sont les tarifs appliqués ?;Quel(s) service(s) proposez-vous?;Quel type d'équipement est en accès libre ?;Dans quel(s) domaine(s) proposez-vous une assistance ?;Quelles actions de formation et/ou d'accompagnement proposez-vous ?;Précision et complément d'information sur vos actions de formation et/ou d'accompagnement ?;;Présentation sommaire de votre structure (max 200 caractères);Présentation globale de l'implication de votre structure en matière d'inclusion numérique (max 200 caractères)
126;Mairie de Lusignan-Petit;Commune (Mairie, CCAS, Centre Culturel, Centre Social...);mairie.lusignanpetit@gmail.com;553950225;;;Le Bourg;47360;LUSIGNAN-PETIT;Tout public;Individuel, Collectif;"le lundi matin de 9h à 13h30
le mardi après-midi de 13h à 18h
le vendredi matin de 9h à 13h";Prise de rendez-vous, accueil;Aucun;Assistance ponctuelle / coup de pouce (faire avec l'usager);;Citoyenneté - Etat-civil (Carte d'identité, acte de naissance, passeport...), Transport (Carte grise, permis de conduire, achat billet de train...), Santé (Carte Vitale, handicap...), Logement (Allocation logement, permis de construire, fin de bail...), Emploi (Recherche d'emploi, création d'entreprise...), Fiscalité (Impôts...), Etranger (Titres de séjour, attestation d'accueil, demande d'asile...), Loisir (Culture, sport, vie associative...);;;J’accepte les présentes Conditions Générales d'utilisation.;;
127;CENTRE SOCIAL MAISON POUR TOUS DE LA MASSE ;Commune (Mairie, CCAS, Centre Culturel, Centre Social...);MASSaccueil.maisonpourtousdelamasse@agglo-agen.fr;05.53.87.98.87;;;place de Montanou;47000;AGEN;Tout public;Individuel, Collectif;lundi/mercredi/jeudi/vendredi de 9h à 12h et 14h à 18h - mardi de 14h à 18h;inscription au centre social ;gratuit ;Assistance ponctuelle / coup de pouce (faire avec l'usager), Accompagnement dans des démarches spécifiques (apprendre à faire);Ordinateur (fixe ou portable), Accés à internet;Citoyenneté - Etat-civil (Carte d'identité, acte de naissance, passeport...), Transport (Carte grise, permis de conduire, achat billet de train...), Santé (Carte Vitale, handicap...), Social (Allocations familiales, RSA...), Logement (Allocation logement, permis de construire, fin de bail...), Emploi (Recherche d'emploi, création d'entreprise...), Retraite (Allocations retraite...), Justice (Dépôt de plainte, casier judiciaire...), Fiscalité (Impôts...), Etranger (Titres de séjour, attestation d'accueil, demande d'asile...);Découverte des compétences numériques de base, Culture et identité numérique, Utilisation de services dématérialisés en ligne (Démarches administratives, démarches personnelles...), Insertion professionnelle (CV, emploi store, recherche d'emploi...);"Différents ateliers à l'EPN:
atelier pré-code de la route : lundi de 14h à 16h
permanences administratives sur les dossiers dématérialisés : mardi de 13h30 à 16h30
 accompagnement à l'insertion à l'emploi : mercredi de 9h à 12h
ateliers informatiques : jeudi de 14h à 16h et vendredi de 10h à 12h 
 ";J’accepte les présentes Conditions Générales d'utilisation.;"Installé en plein cœur du quartier Montanou, le Centre Social Maison Pour Tous de la Masse est un témoin privilégié de la vie de ses habitants. C’est également un acteur de proximité qui développe des missions d’actions sociales visant à améliorer les conditions de vie de l’ensemble des habitants de son territoire d’intervention, dans une perspective de développement social global, porté par des valeurs de solidarité, de dignité humaine et de démocratie.

Les missions du centre social : 
Au-delà de cette identité particulière la Maison Pour Tous de la Masse porte avec elle les valeurs des Centres Sociaux via la circulaire de la CNAF, texte fondamental pour les Centres Sociaux, celui-ci pose le champ des finalités, des principes et valeurs et des missions des centres Sociaux. Ce texte met également en perspective le rôle nécessaire des structures d’animation sociale dans le développement des territoires et pose la participation des usagers comme principe méthodologique de leur action. 
Etre un centre social implique de poursuivre un certain nombre de finalités qu’elles que soit les caractéristiques de la structure et son projet, celles-ci sont au nombre de trois : 
•	l’inclusion sociale et la socialisation des personnes ; 
•	le développement des liens sociaux et la cohésion sociale sur le territoire ; 
•	la prise de responsabilité des usagers et le développement de la citoyenneté. 

La CAF fixe également le champ des valeurs et principes à faire vivre au sein de chaque centre social, et pour chacun de leurs acteurs : 
•	Le respect de la dignité humaine ; 
•	La laïcité, la neutralité et la mixité ; 
•	La solidarité ; 
•	La participation et le partenariat. 

Enfin la circulaire rappelle les missions générales des centres sociaux : 
•	un lieu de proximité à vocation globale, familiale et intergénérationnelle, qui accueille toute la population en veillant à la mixité sociale. Il est ouvert à l’ensemble de la population à qui il offre un accueil, des activités et des services ; par là même il est en capacité de déceler les besoins et les attentes des usagers et des habitants. C’est un lieu de rencontre et d’échange entre les générations, il favorise le développement des liens familiaux et sociaux. 
•	Un lieu d’animation de la vie sociale permettant aux habitants d’exprimer, de concevoir et de réaliser leurs projets : il prend en compte l’expression des demandes et des initiatives des usagers et des habitants, et favorise la vie sociale et la vie associative. Il propose des activités ou des services à finalité sociale, éducative, culturelle ou de loisirs, ainsi que des actions spécifiques pour répondre aux problématiques sociales du territoire. Il favorise le développement des initiatives des usagers en mettant des moyens humains et logistiques à leur disposition. 

Et les missions complémentaires : 
•	Organiser une fonction d’accueil et d’écoute des habitants-usagers, des familles et des groupes informels ou des associations.
•	Assurer une attention particulière aux familles et aux publics fragilisés, et le cas échéant leur proposer un accompagnement adapté. 
•	Développer des actions d’intervention sociale adaptées aux besoins de la population et du territoire ; en raison des problématiques sociales auxquels ils sont confrontés, ils peuvent développer des actions collectives avec une dimension d’accompagnement social. Ces actions collectives, parfois expérimentales, sont réalisées en concertation avec les partenaires opérationnels.
•	Mettre en œuvre une organisation et/ou un plan d’actions visant à développer la participation et la prise de responsabilités par les usagers et les bénévoles.
•	Organiser la concertation et la coordination avec les professionnels et les acteurs impliqués dans les problématiques sociales du territoire et / ou sur leurs axes d’intervention prioritaires. 

C’est autour de cet ensemble d’éléments auquel la Maison Pour Tous de la Masse souscrit par principe et par conviction que s’organise le contrat, que se pensent les projets et que s’engagent les actions
";Initiation aux pratiques de bases pour favoriser l’autonomie des habitants, Démarches administratives en ligne, Favoriser l’accès à l’emploi 
128;COMMUNE DE PONT-DU-CASSE;Commune (Mairie, CCAS, Centre Culturel, Centre Social...);mediatheque@ville-pontducasse.fr;553675609;https://www.ville-pontducasse.fr/;1;CHARLES DE GAULLE;47480;PONT DU CASSE;Tout public;en fonction des besoins;mardi 14/18h00, mercredi 10/12h00 et 14/19h00, jeudi 17/19h00 et samedi 10/12h00 et 13h30/17h30.;adhésion annuelle ;11 € pour les habitants de la commune, 16€ pour les extérieurs, gratuit -18 ans.;Accès libre au matériel informatique;Ordinateur (fixe ou portable), Accés à internet, Connexion WIFI;;;;J’accepte les présentes Conditions Générales d'utilisation.;COLLECTIVITE TERRITORIALE;Fonctionnement d'une médiathèque proposant deux (2) postes numériques avec accès à internet. 
129;CENTRE MEDICO SOCIAL DE FUMEL;Centre Médico-Social;Accueil.CMSFumel@lotetgaronne.fr;05.53.71.20.61;http://www.lotetgaronne.fr/;2;place Voltaire;47500;FUMEL;Tout public;Individuel, familles;du lundi au vendredi accueil physique de 9h00 à 12h00 et de 14h à 17h. accueil téléphonique étendu à partir de 8h30 et jusqu'à 17h30;accueil inconditionnel;gratuit;Conseil et orientation vers un partenaire, Diagnostic des besoins numériques;;Santé (Carte Vitale, handicap...), Social (Allocations familiales, RSA...), Logement (Allocation logement, permis de construire, fin de bail...), Emploi (Recherche d'emploi, création d'entreprise...), Retraite (Allocations retraite...), Etranger (Titres de séjour, attestation d'accueil, demande d'asile...), Loisir (Culture, sport, vie associative...);;;J’accepte les présentes Conditions Générales d'utilisation.;"Horaires d’ouverture :
Du lundi au vendredi
9h00 - 12h00 et 14h00 - 17h00

Publics :
Tout public 

Condition d’accès :
Sur rendez-vous



";Conseil et orientation vers un partenaire et diagnostic des besoins numériques
130;Mairie de Ste Colombe de Duras;Commune (Mairie, CCAS, Centre Culturel, Centre Social...);mairieduras@wanadoo.fr;553838249;;963;Rue du Bourg;47120;STE COLOMBE DE DURAS;Tout public;Individuel;LUNDI ET JEUDI 8 H00-12H00;AUCUNE;GRATUIT;Conseil et orientation vers un partenaire, Assistance ponctuelle / coup de pouce (faire avec l'usager), Accompagnement dans des démarches spécifiques (apprendre à faire);PC DE LA MAIRIE MAIS EN ACCES LIBRE;Citoyenneté - Etat-civil (Carte d'identité, acte de naissance, passeport...), Transport (Carte grise, permis de conduire, achat billet de train...), Santé (Carte Vitale, handicap...), Social (Allocations familiales, RSA...), Logement (Allocation logement, permis de construire, fin de bail...), Fiscalité (Impôts...), Etranger (Titres de séjour, attestation d'accueil, demande d'asile...);Utilisation de services dématérialisés en ligne (Démarches administratives, démarches personnelles...);;J’accepte les présentes Conditions Générales d'utilisation.;Administration;Aide aux personnes non dotées de l'outil informatique
131;MSAP CASTILLONNES;Maison des Services Publics;msap.castillonnes@laposte.fr;3631;laposte.fr;0;Alphonse de Poitiers;47330;Castillonnès;Tout public;Individuel;lundi au vendredi 9h00 12h00 et 13h30 16h30 samedi 9h00 12h00;accès libre;gratuité;Accès libre au matériel informatique, Conseil et orientation vers un partenaire, Assistance ponctuelle / coup de pouce (faire avec l'usager), Accompagnement dans des démarches spécifiques (apprendre à faire);Ordinateur (fixe ou portable), Tablette, Imprimante, Scanner, Accés à internet, Connexion WIFI;Citoyenneté - Etat-civil (Carte d'identité, acte de naissance, passeport...), Santé (Carte Vitale, handicap...), Social (Allocations familiales, RSA...), Emploi (Recherche d'emploi, création d'entreprise...), Retraite (Allocations retraite...), Fiscalité (Impôts...), télé-procédures de l'Etat;Utilisation de services dématérialisés en ligne (Démarches administratives, démarches personnelles...);;J’accepte les présentes Conditions Générales d'utilisation.;"Accompagnement de l’usager dans ses démarches administratives en ligne - Aide à la constitution de dossiers simples - possibilité de permanences physiques par les opérateurs partenaires dans un espace confidentiel du bureau de Poste

";Un ordinateur en libre-service équipé d'une imprimante-scanner + mise à disposition d'une tablette, possibilité d'être accompagné sur ces outils
132;MSAP PUYMIROL;Maison des Services Publics;msap.puymirol@laposte.fr;3631;laposte.fr;26;Royale;47270;Puymirol;Tout public;Individuel;mardi au vendredi 9h00 12h00 et 13h30 16h00 samedi 9h00 12h00;sans rdv préalable;gratuité;Accès libre au matériel informatique, Assistance ponctuelle / coup de pouce (faire avec l'usager), Accompagnement dans des démarches spécifiques (apprendre à faire);Ordinateur (fixe ou portable), Tablette, Imprimante, Scanner, Accés à internet, Connexion WIFI;Citoyenneté - Etat-civil (Carte d'identité, acte de naissance, passeport...), Santé (Carte Vitale, handicap...), Social (Allocations familiales, RSA...), Retraite (Allocations retraite...), Fiscalité (Impôts...);Utilisation de services dématérialisés en ligne (Démarches administratives, démarches personnelles...);;J’accepte les présentes Conditions Générales d'utilisation.;"Accompagnement de l’usager dans ses démarches administratives en ligne - Aide à la constitution de dossiers simples - Possibilité de réalisation de permanences physiques 
par les opérateurs partenaires dans un espace confidentiel du bureau de Poste
";mise à disposition d'un ordinateur équipée d'une imprimante-scanner et d'une tablette
133;MSAP MEILHAN SUR GARONNE;Maison des Services Publics;msap.meilhan-sur-garonne@laposte.fr;3631;laposte.fr;0;place de Neuf Brisach;47180;Meilhan sur Garonne;Tout public;Individuel;mardi,  jeudi, vendredi 9h00 12h00 et 13h30 16h30 mercredi et samedi 9h00 12h00;sans rdv préalable;gratuité;Accès libre au matériel informatique, Conseil et orientation vers un partenaire, Assistance ponctuelle / coup de pouce (faire avec l'usager), Accompagnement dans des démarches spécifiques (apprendre à faire);Ordinateur (fixe ou portable), Tablette, Imprimante, Scanner, Accés à internet, Connexion WIFI;Citoyenneté - Etat-civil (Carte d'identité, acte de naissance, passeport...), Santé (Carte Vitale, handicap...), Social (Allocations familiales, RSA...), Emploi (Recherche d'emploi, création d'entreprise...), Retraite (Allocations retraite...), Fiscalité (Impôts...);Utilisation de services dématérialisés en ligne (Démarches administratives, démarches personnelles...);;J’accepte les présentes Conditions Générales d'utilisation.;"Accompagnement de l’usager dans ses démarches administratives en ligne - Aide à la constitution de dossiers simples - Possibilité de réalisation de permanences physiques 
par les opérateurs partenaires dans un espace confidentiel du bureau de Poste
";Accompagnement aux démarches numériques 
134;MSAP DAMAZAN;Maison des Services Publics;msap.damazan@laposte.fr;3631;laposte.fr;0;d'Aiguillon;47160;Aiguillon;Tout public;Individuel;lundi, mardi, jeudi, vendredi 9h00 12h00 et 13h30 16h00 et mercredi 9h00 12h00;sans rdv préalable;gratuité;Accès libre au matériel informatique, Conseil et orientation vers un partenaire, Assistance ponctuelle / coup de pouce (faire avec l'usager), Accompagnement dans des démarches spécifiques (apprendre à faire);Ordinateur (fixe ou portable), Tablette, Imprimante, Scanner, Accés à internet, Connexion WIFI;Citoyenneté - Etat-civil (Carte d'identité, acte de naissance, passeport...), Santé (Carte Vitale, handicap...), Social (Allocations familiales, RSA...), Emploi (Recherche d'emploi, création d'entreprise...), Retraite (Allocations retraite...), Fiscalité (Impôts...);Utilisation de services dématérialisés en ligne (Démarches administratives, démarches personnelles...);;J’accepte les présentes Conditions Générales d'utilisation.;"Accompagnement de l’usager dans ses démarches administratives en ligne - Aide à la constitution de dossiers simples - Possibilité de réalisation de permanences physiques 
par les opérateurs partenaires dans un espace confidentiel du bureau de Poste
";Acompagnement des démarches numériques
135;MSAP CASTELMORON SUR LOT;Maison des Services Publics;msap.castelmoron-sur-lot@laposte.fr;3631;laposte.fr;0;du 8 mai 1945;47260;Castelmoron sur Lot;Tout public;Individuel;mardi au vendredi 9h00 12h00 et 13h30 16h00 et samedi 9h00 12h00;sans rdv préalable;gratuité;Accès libre au matériel informatique, Conseil et orientation vers un partenaire, Assistance ponctuelle / coup de pouce (faire avec l'usager), Accompagnement dans des démarches spécifiques (apprendre à faire);Ordinateur (fixe ou portable), Tablette, Imprimante, Scanner, Accés à internet, Connexion WIFI;Citoyenneté - Etat-civil (Carte d'identité, acte de naissance, passeport...), Santé (Carte Vitale, handicap...), Social (Allocations familiales, RSA...), Emploi (Recherche d'emploi, création d'entreprise...), Retraite (Allocations retraite...), Fiscalité (Impôts...);Utilisation de services dématérialisés en ligne (Démarches administratives, démarches personnelles...);Accompagnement sur les démarches en ligne ;J’accepte les présentes Conditions Générales d'utilisation.;"Accompagnement de l’usager dans ses démarches administratives en ligne - Aide à la constitution de dossiers simples - Possibilité de réalisation de permanences physiques 
par les opérateurs partenaires dans un espace confidentiel du bureau de Poste
";Acompagnement sur les démarches en ligne
136;LALUME FRANCE SERVICE;Maison France Services;msap.laplume@laposte.fr;553878793;laposte.fr;0;place du foirail;47310;Laplume;Tout public;Individuel;mardi au vendredi 9h00 12h00 et 13h30 16h00 et samedi 9h00 12h00;sans rdv préalable;gratuité;Accès libre au matériel informatique, Conseil et orientation vers un partenaire, Assistance ponctuelle / coup de pouce (faire avec l'usager), Accompagnement dans des démarches spécifiques (apprendre à faire);Ordinateur (fixe ou portable), Tablette, Imprimante, Scanner, Accés à internet, Connexion WIFI;Citoyenneté - Etat-civil (Carte d'identité, acte de naissance, passeport...), Santé (Carte Vitale, handicap...), Social (Allocations familiales, RSA...), Emploi (Recherche d'emploi, création d'entreprise...), Retraite (Allocations retraite...), Justice (Dépôt de plainte, casier judiciaire...), Fiscalité (Impôts...);Utilisation de services dématérialisés en ligne (Démarches administratives, démarches personnelles...);Accompagnement sur les démarches en ligne;J’accepte les présentes Conditions Générales d'utilisation.;"Accompagnement de l’usager dans ses démarches administratives en ligne - Aide à la constitution de dossiers simples - Possibilité de réalisation de permanences physiques 
par les opérateurs partenaires dans un espace confidentiel de la France Service
";Accompagnement sur les démarches en ligne
137;France Services Nérac et Itinérant;Maison France Services;msap@albretcommunaute.fr;553974384;www.albretcommunaute.fr;10;Place Aristide Birand;47600;Nérac;Tout public;Individuel, Collectif;Du lundi au vendredi de 9h à 12h en libre accès et de 14h à 17h sur rendez-vous.;Aucune;Aucun;Accès libre au matériel informatique, Conseil et orientation vers un partenaire, Diagnostic des besoins numériques, Assistance ponctuelle / coup de pouce (faire avec l'usager), Accompagnement dans des démarches spécifiques (apprendre à faire);Ordinateur (fixe ou portable), Scanner, Accés à internet;Santé (Carte Vitale, handicap...), Social (Allocations familiales, RSA...), Logement (Allocation logement, permis de construire, fin de bail...), Emploi (Recherche d'emploi, création d'entreprise...), Retraite (Allocations retraite...), Fiscalité (Impôts...);Découverte des compétences numériques de base, Utilisation de services dématérialisés en ligne (Démarches administratives, démarches personnelles...), Insertion professionnelle (CV, emploi store, recherche d'emploi...);Informations collectives et ateliers numériques thématiques;J’accepte les présentes Conditions Générales d'utilisation.;France Services est un espace d'accueil, d'orientation et d'accompagnement pour les usagers, vers les services administratifs : accompagnement à la recherche d'emplois, à la formation, aux démarches administratives et numériques.;Une animatrice numérique qui accompagne les usagers dans leurs démarches administratives et professionnelles, 6 postes informatiques en libre service, des ateliers collectifs thématiques.
138;Secours Populaire Français;Association;secourspopagen@orange.fr;33553474154;;19;Paulin Régnier;47000;Agen;Plus de 60 ans, Moins de 26 ans, Bénéficiaires du RSA, Personnes en recherche d'emploi, Personnes en situation de handicap, Personnes de nationalité étrangère;Collectif;9h - 12h / 14h - 17h du lundi au vendredi inclus;prise de rendez-vous, inscription;20 euros pour un stage de 3 semaines deux fois 2 heures ;Diagnostic des besoins numériques, Assistance ponctuelle / coup de pouce (faire avec l'usager), Accompagnement dans des démarches spécifiques (apprendre à faire), Formation visant l'autonomie numérique (apprendre à faire + certification);;Etranger (Titres de séjour, attestation d'accueil, demande d'asile...);Découverte des compétences numériques de base, Culture et identité numérique, Utilisation de réseaux sociaux, Achat en ligne;Nous envisageons d'élargir nos prestations à l'utilisation des services dématérialisés en ligne. ;J’accepte les présentes Conditions Générales d'utilisation.;Le Secours Populaire Français est une association à but non lucratif créée en 1945, elle est reconnue d'Utilité Publique et agréée d'Education Populaire. Elle intervient en France mais également dans le monde afin d'aider les personnes ayant des difficultés. ;Il y a des stages d'initiation à l'utilisation des ordinateurs.
139;Médiathèque Aiguillon;Bibliothèque / Médiathèque;mediatheque.du.confluent@ville-aiguillon.fr;05.53.88.79.29;aiguillon.bibli.fr;68;rue Gambetta;47190;AIGUILLON;Tout public;non;mardi 9h30-12h / 14h - 18h mercredi 10h - 12h / 14h - 18h vendredi 10h - 12h / 14h - 18h samedi 9h30 - 12h;adhésion ou accès libre (sans abonnement);11 € (15 € hors commune) gratuit étudiants, demandeurs d'emploi et mineurs ;Accès libre au matériel informatique, Conseil et orientation vers un partenaire, Assistance ponctuelle / coup de pouce (faire avec l'usager);Ordinateur (fixe ou portable);;Découverte des compétences numériques de base;Cours d'initiation de bureautique et d'internet de base sous condition d'abonnement à la médiathèque;J’accepte les présentes Conditions Générales d'utilisation.;Médiathèque sur 3 niveaux (adultes, jeunes, ciné/musique) ;Mise à disposition de 4 postes informatiques 
140;Mission Locale du Pays Villeneuvois et France Services Villeneuve-sur-Lot ;Maison France Services;accueil@mlpv47.org;0553 40 40 00;https://missionlocalevilleneuvois.org;8;Rue de Casseneuil;47300;Villeneuve-sur-Lot;Tout public;;Du lundi au vendredi de 9h à 12h30 et de 13h30 à 17h;Pas de conditions;gratuité;Accès libre au matériel informatique Assistance ponctuelle et accompagnement Formation vers l'autonomie numérique;ordinateur - scanner - copieur/imprimante - accès internet (WIFI) - Téléphone fixe à disposition des usagers - Équipement visio - Borne de rechargement gratuite de téléphones portables - Borne tactile - Café/thé offert aux usagers - Fontaine à eau - Canapés, chaises, espace de travail - Espace documentaire en libre-service sur les diverses thématiques traitées par France Services;;Découverte des compétences numériques de base, Culture et identité numérique, Utilisation de services dématérialisés en ligne (Démarches administratives, démarches personnelles...), Insertion professionnelle (CV, emploi store, recherche d'emploi...),Utilisation de réseaux sociaux;;;;
